 Date,AIG Price Target,AIG Price Target - High,AIG Price Target - Low,AIG Price Target - StdDev,AIG Price Target - Median,AIG Open,AIG Low,AIG High,AIG Close,AIG Adj. Close,AIG Rating,AIG Price Target - #,Ticker
10-27-2014,61.05,68.0,55,3.5139,61.5,42.602265360914,42.192706955214,42.79885339565,51.74,42.38110382183601,3.92,20,AIG
10-28-2014,61.05,68.0,55,3.5139,61.5,42.643221201484,42.63503003337,43.306705818718,52.84,43.28213231437601,3.92,20,AIG
10-29-2014,61.05,68.0,55,3.5139,61.5,43.306705818718,42.5940741928,43.49510268534,52.36,42.888956244904,3.92,20,AIG
10-30-2014,61.05,68.0,55,3.5139,61.5,42.725132882624,42.70866863471486,43.49510268534,52.93,43.355852827402,3.92,20,AIG
10-31-2014,60.89474,68.0,55,3.53769,61.0,43.961999267838,43.511485021568,44.052102117092005,53.57,43.880087586698,3.875,19,AIG
11-03-2014,60.89474,68.0,55,3.53769,61.0,44.060293285206,43.552440862138006,44.158587302574,53.8,44.06848445332,3.875,19,AIG
11-04-2014,61.21053,68.0,55,3.38073,61.0,44.06848445332,43.33127932306,44.10944029389,53.4,43.74083772876,3.875,19,AIG
11-05-2014,61.25,68.0,55,3.17608,61.0,43.839131746128,43.519676189682,44.076675621434006,53.78,44.052102117092005,3.875,20,AIG
11-06-2014,61.35,68.0,55,3.19805,61.5,43.929234595382006,43.74083772876,44.27326365617,53.91,44.158587302574,3.875,20,AIG
11-07-2014,61.35,68.0,55,3.19805,61.5,44.035719780864,43.937425763496,44.39613117788,54.03,44.256881319942,3.875,20,AIG
11-10-2014,61.35,68.0,55,3.19805,61.5,44.31421949674,44.2323078156,44.527189867704,54.36,44.527189867704,3.875,20,AIG
11-11-2014,61.35,68.0,55,3.19805,61.5,44.469851690906005,44.469851690906005,44.756542574896,54.36,44.527189867704,3.875,20,AIG
11-12-2014,61.35,68.0,55,3.19805,61.5,44.240498983714,44.093057957662,44.625483885072,54.35,44.51899869959,3.875,20,AIG
11-13-2014,61.45,68.0,55,3.27834,61.5,44.387940009766,44.371557673538,44.731969070554,54.5,44.6418662213,3.875,20,AIG
11-14-2014,61.45,68.0,55,3.27834,61.5,44.55995454016,43.908756675097,44.68282206187,53.9,44.15039613446,3.875,20,AIG
11-17-2014,61.45,68.0,55,3.27834,61.5,44.076675621434006,43.982477188123,44.297837160512,54.02,44.24869015182801,3.875,20,AIG
11-18-2014,61.45,68.0,55,3.27834,61.5,44.330601832968,44.064388869263006,44.39613117788,53.89,44.142204966346,3.875,20,AIG
11-19-2014,61.45,68.0,55,3.27834,61.5,44.06848445332,43.953808099724,44.330601832968,54.02,44.24869015182801,3.875,20,AIG
11-20-2014,61.45,68.0,55,3.27834,61.5,44.02752861275,43.978381604066,44.617292716958,54.45,44.60091038073001,3.875,20,AIG
11-21-2014,61.45,68.0,55,3.27834,61.5,45.043233458886,44.6418662213,45.043233458886,54.59,44.715586734326,3.875,20,AIG
11-24-2014,61.45,68.0,55,3.27834,61.5,44.977704113974,44.854836592264,45.207056821166,55.1,45.13333630814,3.875,20,AIG
11-25-2014,61.45,68.0,55,3.27834,61.5,45.17429214871,44.469851690906005,45.190674484938,54.68,44.789307247352,3.875,20,AIG
11-26-2014,61.45,68.0,55,3.27834,61.5,44.813880751694,44.543572203932,44.883505680663006,54.61,44.731969070554,3.875,20,AIG
11-28-2014,61.45,68.0,55,3.27834,61.5,44.797498415466,44.797498415466,45.067806963228,54.8,44.88760126472,3.875,20,AIG
12-01-2014,61.45,68.0,55,3.27834,61.5,44.691013229984,44.166778470688,44.822071919808,54.43,44.584528044502,3.875,20,AIG
12-02-2014,61.45,68.0,55,3.27834,61.5,44.687153327494,44.687153327494,45.19617473229,54.98,45.138704573684,3.875,20,AIG
12-03-2014,61.45,68.0,55,3.27834,61.5,45.163334641658,44.99092416584,45.475315502662,54.9,45.07302439242,3.875,20,AIG
12-04-2014,61.45,68.0,55,3.27834,61.5,44.900613916602,44.86777382597,45.417845344056005,55.17,45.294695004186,3.875,20,AIG
12-05-2014,61.45,68.0,55,3.27834,61.5,45.467105480004,45.319325072160005,45.869396590246,55.33,45.426055366714,3.875,20,AIG
12-08-2014,61.45,68.0,55,3.27834,61.5,45.434265389372,45.27827495887,45.943286794168,55.69,45.721616182402,3.875,20,AIG
12-09-2014,61.45,68.0,55,3.27834,61.5,45.171544664316,44.974504120524,45.655936001138,55.59,45.639515955822006,3.875,20,AIG
12-10-2014,61.45,68.0,55,3.27834,61.5,45.393215276082,44.941664029892,45.72982620506,54.84,45.023764256472006,3.875,20,AIG
12-11-2014,61.45,68.0,55,3.27834,61.5,45.048394324446,44.974504120524,45.885816635562,55.18,45.302905026844,3.875,20,AIG
