 Date,TSLA Price Target,TSLA Price Target - High,TSLA Price Target - Low,TSLA Price Target - StdDev,TSLA Price Target - Median,TSLA Open,TSLA Low,TSLA High,TSLA Close,TSLA Adj. Close,TSLA Rating,TSLA Price Target - #,Ticker
12-01-2015,18.52549,30.0,12.0,5.22667,18.66667,15.404,15.403333,15.866666,15.812666,15.812666,3.26316,17,TSLA
12-02-2015,18.52549,30.0,12.0,5.22667,18.66667,15.8,15.415333,15.906666,15.466,15.466,3.26316,17,TSLA
12-03-2015,18.52549,30.0,12.0,5.22667,18.66667,15.698666,15.333333,15.83,15.514,15.514,3.26316,17,TSLA
12-04-2015,18.52549,30.0,12.0,5.22667,18.66667,15.497333,15.177333,15.551333,15.358666,15.358666,3.26316,17,TSLA
12-07-2015,18.52549,30.0,12.0,5.22667,18.66667,15.18,15.076666,15.708666,15.408666,15.408666,3.26316,17,TSLA
12-08-2015,18.52549,30.0,12.0,5.22667,18.66667,15.168,14.946666,15.253333,15.114666,15.114666,3.26316,17,TSLA
12-09-2015,18.52549,30.0,12.0,5.22667,18.66667,15.113333,14.714666,15.166666,14.968,14.968,3.26316,17,TSLA
12-10-2015,18.52549,30.0,12.0,5.22667,18.66667,14.980666,14.909333,15.232666,15.138,15.138,3.26316,17,TSLA
12-11-2015,18.52549,30.0,12.0,5.22667,18.66667,15.016,14.442666,15.05,14.468,14.468,3.26316,17,TSLA
12-14-2015,18.52549,30.0,12.0,5.22667,18.66667,14.500666,14.324666,14.728,14.572,14.572,3.25,17,TSLA
12-15-2015,18.52549,30.0,12.0,5.22667,18.66667,14.788,14.533333,14.814666,14.739333,14.739333,3.25,17,TSLA
12-16-2015,18.52549,30.0,12.0,5.22667,18.66667,14.806666,14.715333,15.658666,15.634,15.634,3.25,17,TSLA
12-17-2015,18.52549,30.0,12.0,5.22667,18.66667,15.596,15.320993,15.850666,15.559333,15.559333,3.25,17,TSLA
12-18-2015,18.52549,30.0,12.0,5.22667,18.66667,15.526,15.286,15.726666,15.364,15.364,3.25,17,TSLA
12-21-2015,18.52549,30.0,12.0,5.22667,18.66667,15.446,15.405333,15.722,15.504,15.504,3.25,17,TSLA
12-22-2015,18.52549,30.0,12.0,5.22667,18.66667,15.666,15.308666,15.77,15.33,15.33,3.25,17,TSLA
12-23-2015,18.52549,30.0,12.0,5.22667,18.66667,15.478666,15.208666,15.563333,15.313333,15.313333,3.25,17,TSLA
12-24-2015,18.52549,30.0,12.0,5.22667,18.66667,15.370666,15.218666,15.458666,15.371333,15.371333,3.25,17,TSLA
12-28-2015,18.52549,30.0,12.0,5.22667,18.66667,15.432666,15.036,15.465333,15.263333,15.263333,3.25,17,TSLA
12-29-2015,18.52549,30.0,12.0,5.22667,18.66667,15.337333,15.303133,15.848,15.812666,15.812666,3.25,17,TSLA
12-30-2015,18.52549,30.0,12.0,5.22667,18.66667,15.773333,15.71138,16.242266,15.872666,15.872666,3.25,17,TSLA
12-31-2015,18.52549,30.0,12.0,5.22667,18.66667,15.900666,15.891333,16.23,16.000666,16.000666,3.25,17,TSLA
01-04-2016,18.64314,30.0,12.0,5.2572,18.66667,15.381333,14.6,15.425333,14.894,14.894,3.25,17,TSLA
01-05-2016,18.64314,30.0,12.0,5.2572,18.66667,15.090666,14.666666,15.126,14.895333,14.895333,3.25,17,TSLA
01-06-2016,18.64314,30.0,12.0,5.2572,18.66667,14.666666,14.398666,14.67,14.602666,14.602666,3.25,17,TSLA
01-07-2016,18.64314,30.0,12.0,5.2572,18.66667,14.279333,14.244666,14.562666,14.376666,14.376666,3.25,17,TSLA
01-08-2016,18.64314,30.0,12.0,5.2572,18.66667,14.524,14.051333,14.696,14.066666,14.066666,3.25,17,TSLA
01-11-2016,18.64314,30.0,12.0,5.2572,18.66667,14.267333,13.533333,14.296666,13.856666,13.856666,3.25,17,TSLA
01-12-2016,18.64314,30.0,12.0,5.2572,18.66667,14.106666,13.687333,14.2493,13.998,13.998,3.25,17,TSLA
01-13-2016,18.64314,30.0,12.0,5.2572,18.66667,14.134,13.333333,14.176666,13.354,13.354,3.25,17,TSLA
01-14-2016,18.64314,30.0,12.0,5.2572,18.66667,13.480666,12.892,14.0,13.745333,13.745333,3.25,17,TSLA
01-15-2016,18.42745,30.0,12.0,5.32289,18.66667,13.264666,13.15,13.671333,13.666,13.666,3.25,17,TSLA
01-19-2016,18.42745,30.0,12.0,5.32289,18.66667,13.914,13.385333,14.031333,13.648,13.648,3.25,17,TSLA
01-20-2016,18.42745,30.0,12.0,5.32289,18.66667,13.293333,12.75,13.418666,13.246666,13.246666,3.25,17,TSLA
01-21-2016,18.42745,30.0,12.0,5.32289,18.66667,13.436666,13.001333,13.548666,13.331333,13.331333,3.25,17,TSLA
01-22-2016,18.42745,30.0,12.0,5.32289,18.66667,13.6534,13.268666,13.7,13.503333,13.503333,3.25,17,TSLA
01-25-2016,18.42745,30.0,12.0,5.32289,18.66667,13.337333,13.058666,13.571333,13.092,13.092,3.25,17,TSLA
01-26-2016,18.42745,30.0,12.0,5.32289,18.66667,13.113333,12.592,13.188,12.904,12.904,3.25,17,TSLA
01-27-2016,18.42745,30.0,12.0,5.32289,18.66667,12.825333,12.384666,12.884,12.538,12.538,3.25,17,TSLA
01-28-2016,18.42745,30.0,12.0,5.32289,18.66667,12.719333,12.160666,12.752,12.646666,12.646666,3.25,17,TSLA
01-29-2016,18.42745,30.0,12.0,5.32289,18.66667,12.663333,12.538666,12.916,12.746666,12.746666,3.25,17,TSLA
02-01-2016,17.96863,26.66667,12.0,4.5915,18.66667,12.584,12.183333,13.301333,13.129333,13.129333,3.25,17,TSLA
02-02-2016,17.96863,26.66667,12.0,4.5915,18.66667,12.828,12.015333,12.874666,12.185333,12.185333,3.25,17,TSLA
02-03-2016,17.58148,26.66667,11.0,4.73906,17.33334,12.239333,11.345333,12.262666,11.565333,11.565333,3.14286,18,TSLA
02-04-2016,17.47037,26.66667,10.66667,4.8745,17.33334,11.38,11.132666,11.732,11.688666,11.688666,3.14286,18,TSLA
02-05-2016,17.47037,26.66667,10.66667,4.8745,17.33334,11.42,10.51628,11.533333,10.84,10.84,3.14286,18,TSLA
02-08-2016,17.19259,23.66667,10.66667,4.46804,17.33334,10.473666,9.733333,10.476666,9.866,9.866,3.14286,18,TSLA
02-09-2016,17.13704,23.66667,10.66667,4.53793,17.33334,9.488,9.403333,10.652666,9.883333,9.883333,3.14286,18,TSLA
02-10-2016,17.13704,23.66667,10.66667,4.53793,17.33334,10.033333,9.449333,10.331333,9.578,9.578,3.14286,18,TSLA
02-11-2016,15.5037,23.66667,9.33333,4.74304,14.23334,10.133333,9.8,10.884,10.031333,10.031333,3.19048,18,TSLA
02-12-2016,15.5037,23.66667,9.33333,4.74304,14.23334,10.333333,9.58,10.467333,10.069333,10.069333,3.19048,18,TSLA
02-16-2016,15.5037,23.66667,9.33333,4.74304,14.23334,10.58,10.274,10.863333,10.344666,10.344666,3.19048,18,TSLA
02-17-2016,15.5037,23.66667,9.33333,4.74304,14.23334,10.6,10.445333,11.289333,11.245333,11.245333,3.19048,18,TSLA
02-18-2016,15.5037,23.66667,9.33333,4.74304,14.23334,11.494666,10.984666,11.53,11.118,11.118,3.14286,18,TSLA
02-19-2016,15.5037,23.66667,9.33333,4.74304,14.23334,10.910666,10.833333,11.166,11.105333,11.105333,3.14286,18,TSLA
02-22-2016,15.5037,23.66667,9.33333,4.74304,14.23334,11.341333,11.323333,11.927333,11.849333,11.849333,3.14286,18,TSLA
02-23-2016,15.5037,23.66667,9.33333,4.74304,14.23334,11.744,11.578666,12.115333,11.814,11.814,3.15,18,TSLA
02-24-2016,15.44815,23.66667,9.33333,4.80097,14.23334,11.516666,11.189333,11.966666,11.933333,11.933333,3.15,18,TSLA
02-25-2016,15.44815,23.66667,9.33333,4.80097,14.23334,11.91,11.68,12.567946,12.495333,12.495333,3.15,18,TSLA
02-26-2016,15.44815,23.66667,9.33333,4.80097,14.23334,12.58,12.333333,12.8,12.689333,12.689333,3.15,18,TSLA
