 Date,GE Price Target,GE Price Target - High,GE Price Target - Low,GE Price Target - StdDev,GE Price Target - Median,GE Open,GE Low,GE High,GE Close,GE Adj. Close,GE Rating,GE Price Target - #,Ticker
09-10-2021,118.28,144.0,40.0,26.12185,128.0,80.123261203788,78.94805798253,80.63523092394,102.0,79.1225931144,4.11111,15,GE
09-13-2021,118.28,144.0,40.0,26.12185,128.0,79.62680571758,79.138107348344,81.341128568392,104.46,81.030843889512,4.11111,15,GE
09-14-2021,118.28,144.0,40.0,26.12185,128.0,81.092900825288,77.62756396038644,81.10065794226,100.38,77.86594016493599,4.11111,15,GE
09-15-2021,116.44286,138.0,40.0,26.0857,125.5,78.183981960788,78.106410791068,79.487177612084,102.16,79.246706985952,4.05882,14,GE
09-16-2021,116.44286,138.0,40.0,26.0857,125.5,79.425120676308,78.207253311704,79.66551373127028,101.34,78.61062339424801,4.05882,14,GE
09-17-2021,116.44286,138.0,40.0,26.0857,125.5,78.46323817178,77.672012240636,79.01678603890193,100.47,77.93575421768399,4.05882,14,GE
09-20-2021,116.44286,138.0,40.0,26.0857,125.5,76.4076021742,75.45347678664399,77.466448640878,99.81,77.423784497532,4.05882,14,GE
09-21-2021,115.72857,136.0,40.0,25.61836,125.5,77.49359855028,74.631222387612,77.563412603028,96.82,75.104406522904,4.05882,14,GE
09-22-2021,115.72857,136.0,40.0,25.61836,125.5,75.763761465524,75.756004348552,76.81485081523,98.54,76.438630642088,4.05882,14,GE
09-23-2021,115.72857,136.0,40.0,25.61836,125.5,77.206585222316,77.19882810534399,80.736073444576,102.96,79.86727634371199,4.05882,14,GE
09-24-2021,115.72857,136.0,40.0,25.61836,125.5,79.69648706937,79.64990817569999,80.8881304324275,103.8,80.5814860491,4.05882,14,GE
09-27-2021,115.72857,136.0,40.0,25.61836,125.5,81.163722219975,81.039511836855,82.5485127287841,105.35,81.78477413557499,4.05882,14,GE
09-28-2021,117.72857,136.0,40.0,23.77785,125.5,81.738195241905,81.30353653247445,82.871614987875,105.73,82.07977379548501,4.05882,14,GE
09-29-2021,117.72857,136.0,40.0,23.77785,125.5,82.289378817,81.7520136470271,83.0656937115,106.28,82.50674698746,4.05882,14,GE
09-30-2021,117.72857,136.0,40.0,23.77785,125.5,82.56885217902,79.921618388775,83.135562052005,103.03,79.98372358033501,4.05882,14,GE
10-01-2021,117.72857,136.0,40.0,23.77785,125.5,80.87648570901001,80.480565112815,82.59206399436555,105.82,82.14964213598999,4.05882,14,GE
10-04-2021,119.3,136.0,55.0,20.4499,127.5,81.8235898803,81.2025379647,83.12779890306,104.9,81.43543243305001,4.05882,14,GE
10-05-2021,119.3,136.0,55.0,20.4499,127.5,81.55964281617,80.54267030437501,82.28549724252751,104.9,81.43543243305001,4.05882,14,GE
10-06-2021,119.3,136.0,55.0,20.4499,127.5,80.48832826176,79.23069813267,81.06280128369,104.33,80.992932943185,4.05882,14,GE
10-07-2021,118.48,136.0,55.0,19.99331,127.0,81.38885353938001,80.992932943185,82.700825711085,105.51,81.90898451869501,4.0,15,GE
10-08-2021,118.48,136.0,55.0,19.99331,127.0,81.80030043346501,81.24911685837,82.46016809379,104.72,81.29569575204,4.0,15,GE
10-11-2021,118.48,136.0,55.0,19.99331,127.0,81.38885353938001,80.713459581165,82.10306324232,104.08,80.79885421956,4.0,15,GE
10-12-2021,118.41333,136.0,55.0,20.04641,127.0,80.39517047442,78.84254068542,80.76780162378,102.72,79.74306596304,4.0,15,GE
10-13-2021,118.41333,136.0,55.0,20.04641,127.0,79.33938221790001,78.54754102551,80.1156971124,102.36,79.46359260102,4.0,15,GE
10-14-2021,118.41333,136.0,55.0,20.04641,127.0,80.06911821873,79.471355749965,80.46503881492501,102.74,79.75859226093,4.0,15,GE
10-15-2021,118.41333,136.0,55.0,20.04641,127.0,80.46503881492501,80.107933963455,82.21174732755,104.41,81.055038134745,4.0,15,GE
10-18-2021,118.41333,136.0,55.0,20.04641,127.0,80.48832826176,79.99148672928001,81.17932614935445,104.12,80.82990681534001,4.0,15,GE
10-19-2021,118.41333,136.0,55.0,20.04641,127.0,81.18701166681,80.41069677231,81.489774475665,104.73,81.303458900985,4.0,15,GE
10-20-2021,118.41333,136.0,55.0,20.04641,127.0,81.318985198875,80.63582809171501,82.30490511489,106.0,82.289378817,4.0,15,GE
10-21-2021,118.41333,136.0,55.0,20.04641,127.0,82.10306324232,79.968197282445,82.592141625855,103.15,80.076881367675,4.0,15,GE
10-22-2021,118.41333,136.0,55.0,20.04641,127.0,79.999249878225,79.61117006246445,81.1287880497225,104.05,80.775564772725,4.0,15,GE
10-25-2021,118.41333,136.0,55.0,20.04641,127.0,80.45727566598,80.2127364742125,82.2777340935825,105.3,81.74595839085,4.0,15,GE
10-26-2021,118.68,136.0,55.0,20.13207,127.0,82.10306324232,81.68385319929,86.147663842665,107.44,83.40727226508,4.0,15,GE
10-27-2021,120.08,136.0,55.0,19.37446,127.0,83.74885081866,80.496091410705,84.05937677646,103.85,80.62030179382499,4.0,15,GE
10-28-2021,120.14667,137.0,55.0,19.43076,127.0,80.26319694235501,80.03806562295,81.8041820079375,105.26,81.71490579507001,4.0,15,GE
10-29-2021,119.82667,137.0,55.0,19.48317,127.0,81.47424817777501,80.82990681534001,81.69937949718,104.87,81.412142986215,4.0,15,GE
11-01-2021,119.82667,137.0,55.0,19.48317,127.0,82.10306324232,81.73043209296,82.887141285765,106.23,82.467931242735,4.0,15,GE
11-02-2021,124.45714,137.0,108.0,9.22432,127.5,82.55332588113001,81.74595839085,83.17430016524055,106.69,82.825036094205,4.0,14,GE
11-03-2021,124.45714,137.0,108.0,9.22432,127.5,82.41358920012,81.37332724149,82.55332588113001,105.97,82.266089370165,4.0,14,GE
11-04-2021,124.45714,137.0,108.0,9.22432,127.5,82.188457880715,80.96188034740501,82.59990477480001,105.21,81.676090050345,4.0,14,GE
11-05-2021,124.45714,137.0,108.0,9.22432,127.5,83.01135166888501,82.94924647732499,85.122928181925,108.74,84.41648162793,4.0,14,GE
11-08-2021,124.45714,137.0,108.0,9.22432,127.5,84.92884945830001,84.0865477977675,85.635296012295,108.42,84.16806086169001,4.0,14,GE
11-09-2021,125.10769,137.0,108.0,9.55232,128.0,89.066607845985,85.76726954436,90.18061971959251,111.29,86.39608460890501,4.05882,13,GE
11-10-2021,129.74286,143.0,114.4,7.52346,130.5,87.33542563125,83.927403244395,87.47516231226001,108.96,84.58727090472,4.11111,14,GE
11-11-2021,129.74286,143.0,114.4,7.52346,130.5,84.268981797975,82.89490443471,85.08411243719999,107.0,83.0656937115,4.11111,14,GE
11-12-2021,129.74286,143.0,114.4,7.52346,130.5,83.37621966930001,82.64648366847,83.787666563385,107.59,83.52371949925501,4.11111,14,GE
11-15-2021,129.74286,143.0,114.4,7.52346,130.5,83.865298052835,82.4446417959,84.362139585315,106.67,82.809509796315,4.11111,14,GE
11-16-2021,129.74286,143.0,114.4,7.52346,130.5,82.40582605117501,79.82069745249,82.452404944845,103.35,80.232144346575,4.11111,14,GE
11-17-2021,129.74286,143.0,114.4,7.52346,130.5,80.50385455965001,78.73385660019001,80.64359124066,101.99,79.176356090055,4.11111,14,GE
11-18-2021,129.74286,143.0,114.4,7.52346,130.5,78.74161974913501,76.99491123651,79.0288562601,100.67,78.151620429315,4.11111,14,GE
11-19-2021,129.74286,143.0,114.4,7.52346,130.5,77.4762264711,77.08806902385,78.20596247193,99.96,77.60043685421999,4.11111,14,GE
11-22-2021,129.74286,143.0,114.4,7.52346,130.5,77.996357450415,77.84497604598751,79.160829792165,101.04,78.43885694028,4.11111,14,GE
11-23-2021,127.5875,143.0,100.0,10.07856,129.0,79.01332996221001,78.524251578675,79.347145366845,102.08,79.24622443056,4.05,16,GE
11-24-2021,127.5875,143.0,100.0,10.07856,129.0,79.07543515377,78.64846196179501,79.4286584307675,102.23,79.362671664735,4.05,16,GE
11-26-2021,127.5875,143.0,100.0,10.07856,129.0,75.03859770237,74.14583557369501,76.15649115045,97.84,75.95464927788001,4.05,16,GE
11-29-2021,127.5875,143.0,100.0,10.07856,129.0,77.064779577015,75.170571234435,77.96530485463501,98.4,76.3893856188,4.05,16,GE
11-30-2021,127.5875,143.0,100.0,10.07856,129.0,75.02307140448,73.338468083415,75.63636017113501,94.99,73.742151828555,4.05,16,GE
12-01-2021,127.5875,143.0,100.0,10.07856,129.0,74.953203063975,72.15070629483,75.217150128105,93.0,72.1972851885,4.05,16,GE
12-02-2021,127.275,143.0,100.0,9.8886,129.0,73.1288630619,72.04978535854501,74.35544059521,95.23,73.928467403235,4.05,16,GE
12-03-2021,127.275,143.0,100.0,9.8886,129.0,73.850835913785,71.21136527248501,74.021625190575,92.77,72.018732762765,4.05,16,GE
12-06-2021,126.9,143.0,100.0,9.96745,128.5,72.857152848825,72.38360076318,75.217150128105,96.01,74.533993020945,4.05,16,GE
12-07-2021,126.9,143.0,100.0,9.96745,128.5,74.9920188087,74.75912434035,76.335043576185,97.55,75.729517958475,4.05,16,GE
12-08-2021,126.9,143.0,100.0,9.96745,128.5,75.729517958475,75.28701846861,76.80859566183,98.28,76.29622783146,4.05,16,GE
12-09-2021,126.15,143.0,100.0,10.08154,126.5,75.900307235265,75.3025447665,76.226359490955,97.83,75.946886128935,4.05,16,GE
12-10-2021,126.15,143.0,100.0,10.08154,126.5,76.148728001505,74.875571574525,76.51351837043055,96.95,75.263729021775,4.05,16,GE
12-13-2021,126.15,143.0,100.0,10.08154,126.5,74.50294042516501,72.05754850749,74.83675582980001,93.13,72.298206124785,4.05,16,GE
12-14-2021,124.7125,143.0,100.0,10.87726,126.5,72.003206464875,71.20360212354,73.01629740219751,92.11,71.506364932395,4.05,16,GE
12-15-2021,124.7125,143.0,100.0,10.87726,126.5,71.59175957079,70.00807718601001,71.739259400745,92.08,71.48307548556,4.05,16,GE
12-16-2021,124.7125,143.0,100.0,10.87726,126.5,71.82465403914,71.5762332729,73.23754714713,92.53,71.832417188085,4.05,16,GE
12-17-2021,124.7125,143.0,100.0,10.87726,126.5,71.77031199652501,69.95373514339501,72.251627231115,91.45,70.993997102025,4.05,16,GE
12-20-2021,124.7125,143.0,100.0,10.87726,126.5,69.92951449499999,68.507614366935,70.00721395555,89.98,69.91397460289001,4.05,16,GE
12-21-2021,124.7125,143.0,100.0,10.87726,126.5,70.48895061096,70.48895061096,72.781084697185,93.06,72.30711798783,4.05,16,GE
12-22-2021,124.7125,143.0,100.0,10.87726,126.5,72.19833874306,71.60782284288,72.81216448140499,93.07,72.31488793388499,4.05,16,GE
12-23-2021,124.7125,143.0,100.0,10.87726,126.5,72.49359669315,72.49359669315,73.45707000397,94.0,73.037492917,4.05,16,GE
12-27-2021,124.7125,143.0,100.0,10.87726,126.5,72.750004912965,72.61014588397501,73.558079302685,94.62,73.51922957241,4.05,16,GE
12-28-2021,124.7125,143.0,100.0,10.87726,126.5,73.371600597365,73.22397162232,74.65364169644,95.3,74.04758590415,4.05,16,GE
12-29-2021,124.7125,143.0,100.0,10.87726,126.5,73.8144875225,73.37937054342,74.18744493314,94.79,73.65131865534501,4.05,16,GE
12-30-2021,124.7125,143.0,100.0,10.87726,126.5,73.55030935663,73.45046554982325,74.57594223589,94.7,73.58138914085,4.05,16,GE
12-31-2021,124.7125,143.0,100.0,10.87726,126.5,73.42599021975,72.95979345645,73.791177684335,94.47,73.402680381585,4.05,16,GE
01-03-2022,124.7125,143.0,100.0,10.87726,126.5,73.98542633571,73.620238871125,75.71035435992,96.24,74.77796083332,4.05,16,GE
01-04-2022,124.7125,143.0,100.0,10.87726,126.5,76.75152713129,76.215400853495,77.738310280275,99.37,77.209953948535,4.1,16,GE
01-05-2022,124.7125,143.0,100.0,10.87726,126.5,77.48967200651501,77.14779438009501,79.090280893845,99.37,77.209953948535,4.1,16,GE
01-06-2022,124.7125,143.0,100.0,10.87726,126.5,78.049108122475,77.24880367881,78.53861472394,99.95,77.66061081972501,4.1,16,GE
01-07-2022,124.7125,143.0,100.0,10.87726,126.5,77.5440616289,77.52075179073499,79.43992846632,101.4,78.78725299770001,4.1,16,GE
01-10-2022,124.43529,143.0,100.0,10.61059,126.0,79.03589127146,76.87584626817,79.253449761,99.42,77.24880367881,4.14286,17,GE
01-11-2022,124.43529,143.0,100.0,10.61059,126.0,77.924788985595,77.67615071183499,79.540937765035,101.79,79.090280893845,4.14286,17,GE
01-12-2022,124.43529,143.0,100.0,10.61059,126.0,78.810562835865,78.77171310559,79.7334770282779,102.24,79.43992846632,4.14286,17,GE
01-13-2022,124.43529,143.0,100.0,10.61059,126.0,79.478778196595,79.0980508399,80.535490860075,102.46,79.61086727953,4.14286,17,GE
01-14-2022,124.43529,143.0,100.0,10.61059,126.0,78.98927159512999,78.40652564100499,80.240232909985,103.16,80.15476350338,4.14286,17,GE
01-18-2022,125.49412,145.0,100.0,11.65991,126.0,79.68856674008,79.37776889788,80.597650428515,102.89,79.944974959895,4.14286,17,GE
01-19-2022,125.2,145.0,100.0,11.60548,125.0,79.78957603879499,78.064648014585,80.022674420445,100.62,78.18119720541,4.14286,17,GE
01-20-2022,125.2,145.0,100.0,11.60548,125.0,77.878169309265,76.12216150083499,79.090280893845,98.25,76.339719990375,4.14286,17,GE
01-21-2022,125.2,145.0,100.0,11.60548,125.0,75.91237295735,74.48270288323,76.417419450925,96.3,74.82458050964999,4.14286,17,GE
01-24-2022,125.2,145.0,100.0,11.60548,125.0,73.495919734245,71.70883214159501,75.71035435992,96.91,75.298547219005,4.14286,17,GE
01-25-2022,125.2,145.0,100.0,11.60548,125.0,70.79974845316,68.60862366565,71.76322176398,91.11,70.791978507105,4.14286,17,GE
01-26-2022,122.43529,145.0,100.0,13.01479,124.0,71.102776349305,68.414375014275,71.41357419150499,89.32,69.40115816325999,4.14286,17,GE
01-27-2022,122.2,145.0,100.0,12.92986,124.0,69.92951449499999,68.429914906385,71.304794946735,89.9,69.85181503445,4.14286,17,GE
01-28-2022,121.72941,145.0,100.0,12.40852,124.0,69.38561827115,69.035970698675,71.60782284288,92.1,71.56120316655,4.14286,17,GE
01-31-2022,121.72941,145.0,100.0,12.40852,124.0,71.180475809855,70.729818938665,73.4687249230525,94.48,73.41045032764,4.14286,17,GE
02-01-2022,121.43529,145.0,100.0,12.38675,122.0,73.8144875225,73.620238871125,76.47180907331,97.95,76.106621608725,4.14286,17,GE
02-02-2022,121.43529,145.0,100.0,12.38675,122.0,75.889063119185,74.71580126488,76.59612821019,98.04,76.17655112322001,4.14286,17,GE
02-03-2022,121.43529,145.0,100.0,12.38675,122.0,75.485025924325,75.018829161025,77.04678508138,98.32,76.39410961275999,4.14286,17,GE
02-04-2022,121.43529,145.0,100.0,12.38675,122.0,75.91237295735,75.86575328102,77.738310280275,99.01,76.930235890555,4.14286,17,GE
02-07-2022,121.43529,145.0,100.0,12.38675,122.0,77.209953948535,76.53396864175,78.157887367245,99.9,77.62176108945,4.14286,17,GE
02-08-2022,121.43529,145.0,100.0,12.38675,122.0,77.68392065789,76.63497794046499,78.08795785275,99.31,77.163334272205,4.14286,17,GE
02-09-2022,121.43529,145.0,100.0,12.38675,122.0,77.893709201375,77.01570529716,78.064648014585,99.25,77.116714595875,4.14286,17,GE
02-10-2022,121.43529,145.0,100.0,12.38675,122.0,76.448499235145,76.145471339,78.22781688174001,98.79,76.75929707734501,4.14286,17,GE
02-11-2022,121.43529,145.0,100.0,12.38675,122.0,76.93800583661,74.723571210935,77.878169309265,96.83,75.23638765056499,4.14286,17,GE
02-14-2022,121.49412,145.0,100.0,12.41064,122.0,75.143148297905,74.24960450158,75.6792745757,96.6,75.0576788913,4.14286,17,GE
02-15-2022,121.49412,145.0,100.0,12.41064,122.0,76.13770139294499,76.106621608725,78.77171310559,100.92,78.41429558706,4.14286,17,GE
02-16-2022,121.49412,145.0,100.0,12.41064,122.0,77.769390064495,77.613991143395,79.183520246505,101.41,78.795022943755,4.14286,17,GE
02-17-2022,121.49412,145.0,100.0,12.41064,122.0,77.971408661925,76.05223198633999,78.033568230365,98.46,76.50288885753,4.14286,17,GE
02-18-2022,121.49412,145.0,100.0,12.41064,122.0,76.47180907331,71.42134413756,76.899156106335,92.69,72.019629983795,4.14286,17,GE
02-22-2022,118.07778,145.0,55.0,19.32162,121.0,71.98078025352,71.770991710035,73.98923360927695,94.15,73.154042107825,4.14286,18,GE
02-23-2022,118.07778,145.0,55.0,19.32162,121.0,72.874324049845,71.724372033705,73.70570827773,92.65,71.988550199575,4.14286,18,GE
02-24-2022,118.07778,145.0,55.0,19.32162,121.0,70.387941312245,68.14242690235,72.330427825995,92.54,71.90308079297,4.14286,18,GE
02-25-2022,118.07778,145.0,55.0,19.32162,121.0,72.579066099755,72.30711798783,75.69481446781,96.37,74.87897013203501,4.14286,18,GE
02-28-2022,118.07778,145.0,55.0,19.32162,121.0,73.62800881718,73.138502215715,74.45131230116779,95.51,74.210754771305,4.14286,18,GE
03-01-2022,118.07778,145.0,55.0,19.32162,121.0,73.78340773827999,71.38249440728501,74.63810180433,92.33,71.739911925815,4.14286,18,GE
03-02-2022,117.24444,143.0,55.0,18.44614,121.0,72.61791583003,72.32265787994,73.775637792225,94.16,73.16181205388,4.14286,18,GE
03-03-2022,117.24444,143.0,55.0,18.44614,121.0,73.76786784616999,71.46796381389001,74.04758590415,92.45,71.833151278475,4.14286,18,GE
03-04-2022,117.24444,143.0,55.0,18.44614,121.0,70.10045330820999,68.00256787336,70.30247190564,89.14,69.26129913427,4.14286,18,GE
03-07-2022,116.91111,143.0,55.0,18.41138,120.0,68.957999038057,66.329398195059,69.3740645561055,85.38,66.39939052519799,4.14286,18,GE
03-08-2022,116.91111,143.0,55.0,18.41138,120.0,67.682583244413,66.5277097971195,70.342291789695,88.15,68.553598908365,4.14286,18,GE
03-09-2022,116.3,133.0,55.0,17.70427,120.0,71.12776127236599,70.84779195181,72.317630884729,91.25,70.964445835375,4.14286,18,GE
