 Date,AAPL Price Target,AAPL Price Target - High,AAPL Price Target - Low,AAPL Price Target - StdDev,AAPL Price Target - Median,AAPL Open,AAPL Low,AAPL High,AAPL Close,AAPL Adj. Close,AAPL Rating,AAPL Price Target - #,Ticker
09-28-2021,166.13262,198.0,90.0,19.47794,169.5,142.2158486832,140.667110645184,143.7050198736,141.91,140.885522419776,4.28889,42,AAPL
09-29-2021,166.13262,198.0,90.0,19.47794,169.5,141.441479664192,141.004656115008,143.40718563552,142.83,141.798880749888,4.28889,42,AAPL
09-30-2021,166.13262,198.0,90.0,19.47794,169.5,142.622888808576,140.260070519808,143.3357054183808,141.5,140.4784822944,4.28889,42,AAPL
10-01-2021,166.13262,198.0,90.0,19.47794,169.5,140.87559461184,138.10583547577536,141.88823102131198,142.65,141.62018020704002,4.28889,42,AAPL
10-04-2021,166.13262,198.0,90.0,19.47794,169.5,140.736605300736,137.27180033107203,141.18335665785602,139.14,138.135519621504,4.28889,42,AAPL
10-05-2021,166.13262,198.0,90.0,19.47794,169.5,138.48299289926402,138.35393139609602,141.21314008166402,141.11,140.09129778489603,4.28889,42,AAPL
10-06-2021,166.13262,198.0,90.0,19.47794,169.5,138.463137283392,137.371078410432,141.12378981024,142.0,140.9748726912,4.28889,42,AAPL
10-07-2021,166.13262,198.0,90.0,19.47794,169.5,142.02722033241602,141.689674862592,143.173882149024,143.29,142.255559914944,4.28889,42,AAPL
10-08-2021,166.13262,198.0,90.0,19.47794,169.5,142.990217702208,141.530829935616,143.13724853774016,142.9,141.86837540544002,4.28889,42,AAPL
10-11-2021,166.13262,198.0,90.0,19.47794,169.5,141.24292350547202,140.786244340416,143.764586721216,142.81,141.779025134016,4.28889,42,AAPL
10-12-2021,166.13262,198.0,90.0,19.47794,169.5,142.195993067328,140.02190240742337,142.2158486832,141.51,140.488410102336,4.28889,42,AAPL
10-13-2021,166.13262,198.0,90.0,19.47794,169.5,140.215395384096,138.19508646912,140.37920421504,140.91,139.892741626176,4.28889,42,AAPL
10-14-2021,166.13262,198.0,90.0,19.47794,169.5,141.08407857849602,140.488410102336,142.841300583168,143.76,142.722166887936,4.28889,42,AAPL
10-15-2021,166.40415,198.0,90.0,19.63535,170.0,142.732094695872,142.473971689536,143.848973088672,144.84,143.794370145024,4.31818,41,AAPL
10-18-2021,166.40415,198.0,90.0,19.63535,170.0,142.409440937952,142.126498411776,145.779931732224,146.55,145.49202530208,4.31818,41,AAPL
10-19-2021,166.5261,198.0,90.0,19.66659,170.0,145.948704467136,145.49202530208,148.09311098131198,148.76,147.686070855936,4.31818,41,AAPL
10-20-2021,166.5261,198.0,90.0,19.66659,170.0,147.62650400831998,147.050691148032,148.67279568669505,149.26,148.182461252736,4.31818,41,AAPL
10-21-2021,166.5261,198.0,90.0,19.66659,170.0,147.735709895616,146.802495949632,148.559717954304,149.48,148.400873027328,4.31818,41,AAPL
10-22-2021,166.5261,198.0,90.0,19.66659,170.0,148.609356993984,147.566937160704,149.095819582848,148.69,147.616576200384,4.31818,41,AAPL
10-25-2021,166.5261,198.0,90.0,19.66659,170.0,147.60664839244802,146.555392810105,148.29166714003202,148.64,147.566937160704,4.31818,41,AAPL
10-26-2021,166.47732,198.0,90.0,19.66536,170.0,148.251955908288,147.93436533241535,149.751054906624,149.32,148.242028100352,4.31818,41,AAPL
10-27-2021,166.47732,198.0,90.0,19.66536,170.0,148.281739332096,147.41802004166402,148.649068225728,148.85,147.77542112736,4.31818,41,AAPL
10-28-2021,166.47732,198.0,90.0,19.66536,170.0,148.738418497152,148.639140417792,152.059270251744,152.57,151.468565679552,4.31818,41,AAPL
10-29-2021,166.57,198.0,90.0,19.48622,170.0,146.152224529824,145.3558157771981,148.857552192384,149.8,148.71856288128,4.31818,41,AAPL
11-01-2021,166.69195,198.0,90.0,19.49166,170.0,147.90944653449603,146.73300129408003,148.61928480192,148.96,147.88462701465602,4.31818,41,AAPL
11-02-2021,166.69195,198.0,90.0,19.49166,170.0,147.586792776576,147.57686496864002,150.475784885952,150.02,148.936974655872,4.31818,41,AAPL
11-03-2021,166.69195,198.0,90.0,19.49166,170.0,149.304303549504,148.738418497152,150.872897203392,151.49,150.39636242246402,4.31818,41,AAPL
11-04-2021,166.8139,198.0,90.0,19.46503,170.0,150.48571269388802,149.552498747904,151.32957636844802,150.96,149.87018860185603,4.31818,41,AAPL
11-05-2021,166.8139,198.0,90.0,19.46503,170.0,151.01355277835998,149.19411238344,151.3217639928,151.28,150.40707264672,4.31818,41,AAPL
11-08-2021,166.8139,198.0,90.0,19.46503,170.0,150.53632251084,149.29353535584,150.69539926668,150.44,149.57191967856,4.31818,41,AAPL
11-09-2021,167.10659,198.0,90.0,19.5706,170.0,149.33330454479997,149.1942118064124,150.554218645872,150.81,149.93978467644,4.31818,41,AAPL
11-10-2021,167.10659,198.0,90.0,19.5706,170.0,149.15434319448002,146.9968646934,149.26370846412,147.92,147.06646077408,4.31818,41,AAPL
11-11-2021,167.10659,198.0,90.0,19.5706,170.0,148.10045968704,146.82883987004402,148.56774765732,147.87,147.01674928788,4.31818,41,AAPL
11-12-2021,167.10659,198.0,90.0,19.5706,170.0,147.57351793332,146.62899969551998,149.5321504896,149.99,149.12451630276,4.31818,41,AAPL
11-15-2021,167.10659,198.0,90.0,19.5706,170.0,149.50232359788,148.56774765732,151.00361048112,150.0,149.1344586,4.31818,41,AAPL
11-16-2021,167.10659,198.0,90.0,19.5706,170.0,149.07480481656,148.47826698216,150.613872429312,151.0,150.128688324,4.31818,41,AAPL
11-17-2021,167.10659,198.0,90.0,19.5706,170.0,150.12371717538,150.11874602676,154.10560722,153.49,152.60432033676,4.31818,41,AAPL
11-18-2021,167.10659,198.0,90.0,19.5706,170.0,152.82305087604,152.16685925820002,157.75443030708,157.87,156.95904652788,4.31818,41,AAPL
