 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
03-14-2013,27.71298,32.0,24.0,2.29642,27.5,24.636744890766003,24.412121031441004,24.663699753885,27.345,24.5693577329685,3.74074,21,NKE
03-15-2013,28.05821,32.0,24.0,2.42105,28.0,24.5603727785955,24.38741240691525,24.641237367952503,27.39,24.609790027647,3.74074,21,NKE
03-18-2013,28.23679,34.0,24.0,2.70403,28.0,24.4525533261195,24.295451398907595,24.55695849593376,27.08,24.331256442084,3.74074,21,NKE
03-19-2013,28.35583,34.0,25.0,2.56641,28.0,24.3896586455085,24.052722856521,24.457045803306,26.915,24.1830046949295,3.74074,21,NKE
03-20-2013,28.35583,34.0,25.0,2.56641,28.0,24.2908241474055,24.286331670219003,24.654714799512004,27.415,24.6322524135795,3.74074,21,NKE
03-21-2013,28.57012,34.0,25.0,2.50617,28.75,24.466030757679,24.048230379334505,24.58508140312125,26.8,24.079677719640003,3.74074,21,NKE
03-22-2013,29.91536,35.0,25.0,2.79133,30.0,26.0563676817,25.9979654782755,27.067175048662502,29.765,26.7437166912345,3.7037,21,NKE
03-25-2013,30.13612,35.0,25.0,2.67536,30.36125,26.6808220106235,26.5190928319095,26.945878164627,29.78,26.757194122794,3.73077,20,NKE
03-26-2013,30.13612,35.0,25.0,2.67536,30.36125,26.6628521018775,26.460690628485,26.78693432176863,29.735,26.7167618281155,3.73077,20,NKE
03-27-2013,30.13612,35.0,25.0,2.67536,30.36125,26.514600354723,26.119262362311,26.640389715945,29.225,26.258529155092504,3.73077,20,NKE
03-28-2013,30.36774,35.0,25.0,2.80885,30.7225,26.487645491604003,26.258529155092504,26.64712843172475,29.505,26.5101078775365,3.74074,21,NKE
04-01-2013,30.36774,35.0,25.0,2.80885,30.7225,26.505615400350003,26.047382727327,26.5909724668935,29.13,26.173172088549,3.74074,21,NKE
04-02-2013,30.70107,35.0,25.0,2.70538,31.5,26.2225893376005,26.218096860414,26.6808220106235,29.45,26.460690628485,3.74074,21,NKE
04-03-2013,30.7725,35.0,25.0,2.77094,31.5,26.595464944080003,26.30570016555075,26.7437166912345,29.455,26.4651831056715,3.74074,21,NKE
04-04-2013,30.7725,35.0,25.0,2.77094,31.5,26.4112733794335,26.388810993501004,26.730239259675,29.67,26.658359624691,3.74074,21,NKE
04-05-2013,30.7725,35.0,25.0,2.77094,31.5,26.316931358517,26.2046194288545,26.523585309096,29.485,26.4921379687905,3.74074,21,NKE
04-08-2013,30.7725,35.0,25.0,2.77094,31.5,26.4561981512985,26.424750810993,26.932400733067503,29.975,26.932400733067503,3.74074,21,NKE
04-09-2013,30.7725,35.0,25.0,2.77094,31.5,26.873998529643,26.6358972387585,27.013265322424505,29.945,26.9054458699485,3.74074,21,NKE
04-10-2013,30.7725,35.0,25.0,2.77094,31.5,26.918923301508,26.918923301508,27.2019493642575,30.145,27.085144957408502,3.74074,21,NKE
04-11-2013,30.8283,35.0,25.0,2.71928,31.5,27.1210847749005,27.0941299117815,27.574824970737,30.6,27.493960381380003,3.71429,22,NKE
04-12-2013,30.8283,35.0,25.0,2.71928,31.5,27.4355581779555,27.1480396380195,27.5074378129395,30.29,27.215426795817,3.71429,22,NKE
04-15-2013,30.8283,35.0,25.0,2.71928,31.5,27.161517069579,26.806611371845506,27.3726634973445,29.835,26.806611371845506,3.71429,22,NKE
04-16-2013,30.8283,35.0,25.0,2.71928,31.5,26.9683405505595,26.806611371845506,27.192964409884503,30.25,27.179486978325,3.71429,22,NKE
04-17-2013,30.8283,35.0,25.0,2.71928,31.5,27.031235231170506,26.9593555961865,27.5433776304315,30.45,27.359186065785,3.71429,22,NKE
04-18-2013,30.8283,35.0,25.0,2.71928,31.5,27.3906334060905,26.820043878633136,27.493960381380003,30.09,27.035727708357,3.71429,22,NKE
04-19-2013,30.8283,35.0,25.0,2.71928,31.5,27.215426795817,27.07454271124836,27.42131702527429,30.46,27.368171020158,3.71429,22,NKE
04-22-2013,30.94193,35.0,25.0,2.79612,31.5,27.4445431323285,27.2378891817495,27.624242219788503,30.68,27.565840016364,3.71429,22,NKE
04-23-2013,30.94193,35.0,25.0,2.79612,31.5,27.682644423213,27.511930290126003,27.8219112159945,30.84,27.709599286332,3.71429,22,NKE
