 Date,MMM Price Target,MMM Price Target - High,MMM Price Target - Low,MMM Price Target - StdDev,MMM Price Target - Median,MMM Open,MMM Low,MMM High,MMM Close,MMM Adj. Close,MMM Rating,MMM Price Target - #,Ticker
11-14-2014,153.93333,167,131,9.34143,156.0,123.506872401418,122.868030318726,123.779548900128,158.85,123.75617662881,3.55556,15,MMM
11-17-2014,153.93333,167,131,9.34143,156.0,123.164079088754,123.164079088754,123.997690099096,158.69,123.631524515114,3.55556,15,MMM
11-18-2014,154.06667,167,131,9.35569,156.0,123.779548900128,123.75617662881,125.01048852287602,160.15,124.76897505259,3.55556,15,MMM
11-19-2014,154.06667,167,131,9.35569,156.0,124.796389066461,123.731159108949,124.859049652197,158.83,124.404760405611,3.55556,15,MMM
11-20-2014,154.06667,167,131,9.35569,156.0,123.903475719723,123.629335657128,124.968705677235,159.36,124.819886786112,3.55556,15,MMM
11-21-2014,154.06667,167,131,9.35569,156.0,125.563981241727,125.000035970103,125.994772768662,160.16,125.44649264347198,3.55556,15,MMM
11-24-2014,154.0625,167,131,9.05862,156.0,125.44649264347198,124.859049652197,125.759795572152,159.88,125.227180593396,3.47368,16,MMM
11-25-2014,154.0625,167,131,9.05862,156.0,124.5379141503,123.801652267902,125.070529129056,158.06,123.801652267902,3.47368,16,MMM
11-26-2014,154.0625,167,131,9.05862,156.0,123.731159108949,123.36302816775,124.107122623365,158.31,123.997466598327,3.47368,16,MMM
11-28-2014,154.0625,167,131,9.05862,156.0,124.992203396886,124.38126268596,125.96344247579398,160.09,125.391664630953,3.47368,16,MMM
12-01-2014,154.0625,167,131,9.05862,156.0,124.028796891195,123.645000803562,124.93345909775849,158.16,123.879978000072,3.47368,16,MMM
12-02-2014,154.8125,167,131,8.68345,156.0,124.365597539526,124.177615782318,125.932112182926,160.6,125.79112586502,3.47368,16,MMM
12-03-2014,154.8125,167,131,8.68345,156.0,126.18275452586998,125.454325216689,127.232319336948,162.26,127.09133301904198,3.47368,16,MMM
12-04-2014,154.8125,167,131,8.68345,156.0,126.8876861154,126.02610306153,127.60828285136398,162.26,127.09133301904198,3.47368,16,MMM
12-05-2014,154.8125,167,131,8.68345,156.0,127.20098904408,126.79369523679598,127.59261770493,162.27,127.099165592259,3.47368,16,MMM
12-08-2014,154.8125,167,131,8.68345,156.0,126.96601184757,125.39949720417,127.51429197276,160.93,126.049600781181,3.47368,16,MMM
12-09-2014,154.8125,167,131,8.68345,156.0,125.235013166613,124.624072455687,126.18275452586998,160.83,125.971275049011,3.47368,16,MMM
12-10-2014,154.8125,167,131,8.68345,156.0,125.877284170407,123.51967963209,125.955609902577,158.24,123.942638585808,3.47368,16,MMM
12-11-2014,154.8125,167,131,8.68345,156.0,124.678900468206,124.08362490371398,125.493488082774,159.15,124.655402748555,3.47368,16,MMM
12-12-2014,154.8125,167,131,8.68345,156.0,124.193280928752,123.065390385504,124.530081577083,157.12,123.065390385504,3.47368,16,MMM
12-15-2014,154.8125,167,131,8.68345,156.0,123.848647707204,121.867006683303,124.09921172441582,156.85,122.853910908645,3.47368,16,MMM
12-16-2014,157.1875,180,131,11.73253,156.0,123.17504641054198,123.034060092636,126.449062015248,159.05,124.577077016385,3.47368,16,MMM
12-17-2014,161.125,190,131,13.61467,158.0,124.76505877359298,123.582340217826,126.01827048831298,160.6,125.79112586502,3.47368,16,MMM
12-18-2014,161.25,190,131,13.49305,158.0,127.20098904408,126.8876861154,129.47243527701,165.3,129.47243527701,3.47368,16,MMM
12-19-2014,161.25,190,131,13.49305,158.0,129.065141469726,128.736173394612,130.091208561153,165.48,129.613421594916,3.47368,16,MMM
12-22-2014,161.25,190,131,13.49305,158.0,130.193032012974,130.13037142723798,131.0428662070185,167.27,131.015452200759,3.47368,16,MMM
12-23-2014,161.875,190,131,13.65135,158.0,131.602895192034,130.702149272079,131.712551217072,166.87,130.702149272079,3.36842,16,MMM
12-24-2014,161.875,190,131,13.65135,158.0,130.15386914688898,130.15386914688898,131.281759690137,166.96,130.772642431032,3.36842,16,MMM
12-26-2014,161.875,190,131,13.65135,158.0,131.07028021327798,130.138204000455,131.438411154477,166.26,130.224362305842,3.36842,16,MMM
12-29-2014,161.875,190,131,13.65135,158.0,130.25569259871,129.87189651107698,130.897963602504,166.71,130.576828100607,3.36842,16,MMM
12-30-2014,161.875,190,131,13.65135,158.0,130.451506929135,129.456770130576,130.600325820258,165.84,129.895394230728,3.36842,16,MMM
12-31-2014,161.875,190,131,13.65135,158.0,130.02071540219998,128.61085222313997,130.937126468589,164.32,128.704843101744,3.36842,16,MMM
01-02-2015,161.875,190,131,13.65135,158.0,129.010313457207,127.45946396024098,129.300118666236,164.06,128.501196198102,3.36842,16,MMM
01-05-2015,162.6,190,140,12.89858,156.0,127.6709434371,125.383832057736,128.17222812298797,160.36,125.603144107812,3.31579,15,MMM
01-06-2015,162.6,190,140,12.89858,156.0,125.96344247579398,123.5541429542448,126.39415567699682,158.65,124.263774087705,3.31579,15,MMM
01-07-2015,162.6,190,140,12.89858,156.0,125.24284573983,124.490918710998,125.540483522076,159.8,125.16452000766,3.31579,15,MMM
01-08-2015,162.6,190,140,12.89858,156.0,125.830288731105,125.728465279284,128.21139098907298,163.63,128.164395549771,3.31579,15,MMM
01-09-2015,162.6,190,140,12.89858,156.0,128.33671216054498,126.315908270559,128.4542007588,161.62,126.590048333154,3.31579,15,MMM
01-12-2015,162.53333,190,140,12.91442,156.0,127.193156470863,125.336836618434,127.193156470863,160.74,125.900781890058,3.31579,15,MMM
01-13-2015,162.53333,190,140,12.91442,156.0,127.06783529939098,124.89037994506498,128.75497157033277,160.62,125.806791011454,3.31579,15,MMM
01-14-2015,162.53333,190,140,12.91442,156.0,124.569244443168,124.14628548945,125.736297852501,159.84,125.195850300528,3.31579,15,MMM
01-15-2015,162.6,190,140,12.84679,156.0,126.01827048831298,124.82576121602474,126.449062015248,159.66,125.054863982622,3.31579,15,MMM
01-16-2015,162.6,190,140,12.84679,156.0,125.211515446962,124.608407309253,127.028672433306,162.0,126.8876861154,3.31579,15,MMM
01-20-2015,162.6,190,140,12.84679,156.0,127.451631387024,125.368166911302,127.98424636578,161.94,126.840690676098,3.31579,15,MMM
01-21-2015,164.625,195,140,14.70491,157.5,126.621378626022,126.120093940134,127.960748646129,162.54,127.31064506911798,3.4,16,MMM
01-22-2015,164.625,195,140,14.70491,157.5,127.874590340742,126.989509567221,130.012882828983,165.89,129.934557096813,3.4,16,MMM
01-23-2015,164.625,195,140,14.70491,157.5,129.824901071775,128.383707599847,130.00505025576598,164.02,128.469865905234,3.4,16,MMM
01-26-2015,164.625,195,140,14.70491,157.5,128.156562976554,126.73111297679216,128.67351280887598,164.24,128.642182516008,3.4,16,MMM
01-27-2015,165.125,195,140,14.56398,161.5,127.130495885127,126.057433354398,129.34711410553797,163.63,128.164395549771,3.4,16,MMM
01-28-2015,166.0,195,140,14.9541,161.5,128.931987725037,128.266219001592,130.46717207556898,163.94,128.407205319498,3.4,16,MMM
01-29-2015,166.5,195,140,15.53625,161.5,128.50902877131898,127.576952558496,130.14603657367198,166.13,130.122538854021,3.4,16,MMM
01-30-2015,166.5,195,140,15.53625,161.5,129.041643750075,127.12266331191,129.40977469127398,162.3,127.12266331191,3.4,16,MMM
02-02-2015,166.5,195,140,15.53625,161.5,126.981676994004,126.01827048831298,128.939820298254,164.42,128.78316883391398,3.4,16,MMM
