 Date,XOM Price Target,XOM Price Target - High,XOM Price Target - Low,XOM Price Target - StdDev,XOM Price Target - Median,XOM Open,XOM Low,XOM High,XOM Close,XOM Adj. Close,XOM Rating,XOM Price Target - #,Ticker
09-19-2013,96.5,110,85.0,5.6701,96.0,59.88695393484,59.44601920038001,59.95376222794,89.28,59.64644407968,3.45833,20,XOM
09-20-2013,96.5,110,85.0,5.6701,96.0,59.813464812430006,59.18546685729001,59.96044305725,88.66,59.23223266246,3.45833,20,XOM
09-23-2013,96.5,110,85.0,5.6701,96.0,58.98504197799001,58.55078807284001,59.39925339521,87.75,58.62427719525,3.45833,20,XOM
09-24-2013,96.5,110,85.0,5.6701,96.0,58.51738392629001,58.31027821768001,58.83806373317,87.36,58.36372485216,3.45833,20,XOM
09-25-2013,96.5,110,85.0,5.6701,96.0,58.51738392629001,58.07644919183001,58.5240647556,87.14,58.216746607340006,3.45833,20,XOM
09-26-2013,96.5,110,85.0,5.6701,96.0,58.39044816940001,57.996279240110006,58.42385231595001,87.07,58.16998080217,3.45833,20,XOM
09-27-2013,96.5,110,85.0,5.6701,96.0,58.02300255735,57.86266265391,58.129895826310005,86.9,58.05640670390001,3.45833,20,XOM
09-30-2013,96.2,110,79.0,6.38436,96.0,57.49521704186001,57.19457972291001,57.9227901177,86.04,57.48185538324001,3.45833,20,XOM
10-01-2013,96.2,110,79.0,6.38436,96.0,57.44845123669,57.30815382118001,57.68228026254,86.0,57.455132066,3.45833,20,XOM
10-02-2013,96.2,110,79.0,6.38436,96.0,57.28811133325,56.974112355680006,57.52862118841001,86.08,57.50857870048,3.45833,20,XOM
10-03-2013,96.2,110,79.0,6.38436,96.0,57.48185538324001,57.01419733154,57.48853621255,85.5,57.1210906005,3.45833,20,XOM
10-04-2013,96.2,110,79.0,6.38436,96.0,57.662237774610006,57.24134552808001,57.73572689702001,86.32,57.66891860392,3.5,20,XOM
10-07-2013,96.1,110,77.0,6.66258,96.0,57.16785640567,56.96743152637,57.64887611599001,85.9,57.38832377290001,3.5,20,XOM
10-08-2013,96.1,110,77.0,6.66258,96.0,57.36160045566,57.101048112570005,57.42172791945001,85.51,57.12777142981001,3.5,20,XOM
10-09-2013,96.2,110,77.0,6.69029,96.0,57.02087816085,56.67347503673,57.18121806429001,85.16,56.89394240396,3.5,20,XOM
10-10-2013,96.2,110,77.0,6.69029,96.0,57.13445225912,56.646751719490005,57.48185538324001,86.04,57.48185538324001,3.5,20,XOM
10-11-2013,96.2,110,77.0,6.69029,96.0,57.38832377290001,57.1210906005,58.08981085045001,86.95,58.08981085045001,3.5,20,XOM
10-14-2013,95.95,110,77.0,6.82257,96.0,57.79585436081,57.79585436081,58.61759636594,87.6,58.5240647556,3.5,20,XOM
10-15-2013,95.95,110,77.0,6.82257,96.0,58.43721397457001,57.882705141840006,58.507897148669805,86.79,57.98291758149001,3.5,20,XOM
10-16-2013,95.95,110,77.0,6.82257,96.0,58.443894803880006,57.93615177632,58.697766317660005,87.31,58.330320705610006,3.5,20,XOM
10-17-2013,95.95,110,77.0,6.82257,96.0,58.21006577803,58.129895826310005,58.457256462500006,87.48,58.443894803880006,3.5,20,XOM
10-18-2013,95.95,110,77.0,6.82257,96.0,58.584192219390005,58.3236398763,58.61759636594,87.55,58.49066060905,3.5,20,XOM
10-21-2013,95.95,110,77.0,6.82257,96.0,58.457256462500006,58.016321728040005,58.557468902150006,87.23,58.27687407113001,3.5,20,XOM
10-22-2013,95.95,110,77.0,6.82257,96.0,58.31695904699001,58.21006577803,58.89151036765001,87.98,58.77793626938001,3.5,20,XOM
10-23-2013,95.95,110,77.0,6.82257,96.0,58.470618121120005,58.08981085045001,58.557468902150006,87.61,58.53074558491,3.5,20,XOM
10-24-2013,95.95,110,77.0,6.82257,96.0,58.77793626938001,58.77125544007,59.27899846763,88.42,59.07189275902,3.5,20,XOM
10-25-2013,96.26316,110,77.0,6.85828,96.0,58.94495700213,58.67104300042,59.22555183315001,87.97,58.77125544007,3.52174,19,XOM
10-28-2013,96.26316,110,77.0,6.85828,96.0,58.677723829730006,58.53074558491,59.09861607626,88.23,58.94495700213,3.52174,19,XOM
10-29-2013,96.26316,110,77.0,6.85828,96.0,59.09193524695001,59.08191400298501,59.4778867561887,88.93,59.41261505383001,3.52174,19,XOM
10-30-2013,96.26316,110,77.0,6.85828,96.0,59.43933837107,59.252275150390005,59.78006066588001,88.81,59.33244510211001,3.52174,19,XOM
10-31-2013,96.55556,110,77.0,7.15093,96.5,59.76001817795001,59.592997445200005,60.76882340376,89.62,59.87359227622001,3.54545,18,XOM
11-01-2013,96.55556,110,77.0,7.15093,96.5,59.95376222794,58.97168031937,60.154187107240006,89.82,60.00720886242,3.54545,18,XOM
11-04-2013,96.55556,110,77.0,7.15093,96.5,60.12746379000001,60.12746379000001,61.644012043370005,92.1,61.5304379451,3.54545,18,XOM
11-05-2013,96.55556,110,77.0,7.15093,96.5,61.02269491754001,60.95588662444,62.298733315750006,91.99,61.45694882269,3.54545,18,XOM
11-06-2013,96.55556,110,77.0,7.15093,96.5,61.744224483020005,61.54379960372001,62.318775803680005,93.22,62.27869082782,3.54545,18,XOM
11-07-2013,96.55556,110,77.0,7.15093,96.5,62.31232225848,61.72040900732,62.54101601461,91.96,61.85493474621999,3.54545,18,XOM
11-08-2013,96.55556,110,77.0,7.15093,96.5,61.74731415509999,61.528709829387495,62.43339542348999,92.73,62.372858840985,3.54545,18,XOM
11-11-2013,96.55556,110,77.0,7.15093,96.5,62.45357428432499,62.21815424125,62.709173188235,92.96,62.52756344072,3.63636,18,XOM
11-12-2013,96.55556,110,77.0,7.15093,96.5,62.332501119315,62.21815424125,62.76970977073999,92.67,62.332501119315,3.63636,18,XOM
11-13-2013,96.55556,110,77.0,7.15093,96.5,62.02981820679,61.92892390261499,62.37958512792999,92.59,62.278690823755,3.63636,18,XOM
11-14-2013,96.55556,110,77.0,7.15093,96.5,62.33922740626,62.33922740626,62.83697264019,93.22,62.70244690129,3.63636,18,XOM
11-15-2013,96.55556,110,77.0,7.15093,96.5,63.327991587175,63.247276143835,64.094788298905,95.27,64.081335725015,3.63636,18,XOM
11-18-2013,96.55556,110,77.0,7.15093,96.5,64.55890209811,63.94008369917,64.57235467199999,95.45,64.202408890025,3.63636,18,XOM
11-19-2013,96.55556,110,77.0,7.15093,96.5,64.1687774553,64.00734656862,64.431102646155,95.42,64.18223002919,3.63636,18,XOM
11-20-2013,96.55556,110,77.0,7.15093,96.5,64.404197498375,63.475969899965,64.53865597440554,94.68,63.68448479526,3.63636,18,XOM
11-21-2013,96.55556,110,77.0,7.15093,96.5,63.79883167332499,63.650853360535,64.16205116835499,94.69,63.691211082204994,3.63636,18,XOM
11-22-2013,96.55556,110,77.0,7.15093,96.5,63.87282082971999,63.422159604405,63.94680998611499,95.01,63.906452264445,3.63636,18,XOM
11-25-2013,96.55556,110,77.0,7.15093,96.5,64.04097800334499,63.785379099435,64.404197498375,95.09,63.960262560005,3.59091,18,XOM
11-26-2013,96.55556,110,77.0,7.15093,96.5,63.73156880387499,63.327991587175,63.771926525545,94.27,63.408707030515,3.59091,18,XOM
11-27-2013,96.55556,110,77.0,7.15093,96.5,63.46924361302,62.87733036186,63.50960133469,93.8,63.0925715441,3.59091,18,XOM
11-29-2013,96.55556,110,77.0,7.15093,96.5,62.991677239925,62.75625719685,63.37507559579,93.48,62.87733036186,3.5,18,XOM
12-02-2013,96.55556,110,77.0,7.15093,96.5,62.73607833601499,62.50065829294,63.25400243078,93.52,62.90423550964,3.5,18,XOM
12-03-2013,96.55556,110,77.0,7.15093,96.5,62.9580458052,62.709173188235,63.54995905636,94.39,63.489422473854994,3.5,18,XOM
12-04-2013,96.55556,110,77.0,7.15093,96.5,63.35489673495499,63.17328698744,63.83246310805,94.67,63.677758508314994,3.5,18,XOM
12-05-2013,96.55556,110,77.0,7.15093,96.5,63.274181291614994,63.17328698744,63.664305934425,94.13,63.31453901328499,3.45455,18,XOM
12-06-2013,96.31579,110,77.0,7.03415,96.0,63.879547116665,63.623948212755,64.37729235059498,95.65,64.336934628925,3.34783,19,XOM
12-09-2013,96.31579,110,77.0,7.03415,96.0,64.538723237275,64.3033031942,64.740511845625,95.84,64.46473408087999,3.34783,19,XOM
12-10-2013,96.31579,110,77.0,7.03415,96.0,64.50509180255,64.16205116835499,64.5555389546375,95.71,64.37729235059498,3.34783,19,XOM
12-11-2013,96.31579,110,77.0,7.03415,96.0,64.15532488141,63.33471787412,64.26294547253,94.26,63.40198074357,3.34783,19,XOM
12-12-2013,97.25,110,77.0,7.32035,97.5,63.56341163025,63.41543331746,64.49163922865999,95.36,64.14187230751999,3.41667,20,XOM
12-13-2013,97.25,110,77.0,7.32035,97.5,63.98716770778499,63.67103222136999,64.5151812329675,95.31,64.108240872795,3.41667,20,XOM
12-16-2013,97.9,110,77.0,7.74532,98.5,64.76069070646,64.659796402285,66.50952531216,97.22,65.39296167929,3.45833,20,XOM
12-17-2013,97.89474,110,77.0,7.9465,99.0,65.25843594038999,64.59253353283499,65.33242509678499,96.75,65.07682619287499,3.47826,19,XOM
12-18-2013,97.89474,110,77.0,7.9465,99.0,65.534213705135,65.251709653445,67.229238015275,99.54,66.95346025053,3.47826,19,XOM
12-19-2013,97.89474,110,77.0,7.9465,99.0,66.92655510275,66.59024075549999,66.99381797219999,99.43,66.879471094135,3.47826,19,XOM
12-20-2013,97.89474,110,77.0,7.9465,99.0,66.852565946355,66.32118927769999,66.99381797219999,98.68,66.37499957326,3.54167,19,XOM
12-23-2013,97.89474,110,77.0,7.9465,99.0,66.59024075549999,66.179937251855,66.785303076905,98.51,66.260652695195,3.54167,19,XOM
12-24-2013,97.89474,110,77.0,7.9465,99.0,66.13957953018499,66.13957953018499,66.8828342376075,99.22,66.73821906829,3.54167,19,XOM
12-26-2013,97.89474,110,77.0,7.9465,99.0,66.87274480719,66.84583965940999,67.95567700533499,100.9,67.86823527505,3.54167,19,XOM
12-27-2013,97.89474,110,77.0,7.9465,99.0,68.09692903118,67.92877185755499,68.43324337842999,101.51,68.278538778695,3.54167,19,XOM
12-30-2013,97.89474,110,77.0,7.9465,99.0,68.291991352585,67.471384345295,68.305443926475,100.31,67.471384345295,3.54167,19,XOM
12-31-2013,97.89474,110,77.0,7.9465,99.0,67.592457510305,67.552099788635,68.197823335355,101.2,68.0700238834,3.54167,19,XOM
01-02-2014,97.89474,110,77.0,7.9465,99.0,67.6664466667,66.8492028028825,67.77406725782,99.75,67.09471227637499,3.54167,19,XOM
01-03-2014,97.89474,110,77.0,7.9465,99.0,67.108164850265,66.6850814014245,67.37714906519554,99.51,66.933281389695,3.54167,19,XOM
01-06-2014,98.0,110,77.0,8.01315,99.0,67.22251172832999,66.5138301358048,67.35703746723,99.66,67.03417569387,3.54167,19,XOM
01-07-2014,98.0,110,77.0,8.01315,99.0,67.000544259145,66.87274480719,68.08011331381749,101.07,67.98258215311499,3.54167,19,XOM
01-08-2014,98.73684,110,77.0,8.42829,102.0,68.06329759645499,67.363763754175,68.06329759645499,100.74,67.76061468392999,3.58333,19,XOM
01-09-2014,99.26316,112,77.0,8.91387,102.0,67.39739518889999,66.610419616335,67.52519464085499,99.76,67.10143856332,3.58333,19,XOM
01-10-2014,100.27778,112,77.0,9.07258,103.5,67.25614316305499,66.67095619884,67.68662552753499,100.52,67.61263637114,3.52174,18,XOM
01-13-2014,101.0,112,90.0,7.58654,103.5,67.20233286749499,66.099221808515,67.33013231944999,98.55,66.28755784297499,3.47826,18,XOM
01-14-2014,101.0,112,90.0,7.58654,103.5,66.4557150166,66.354820712425,66.77185050301499,99.12,66.67095619884,3.47826,18,XOM
01-15-2014,101.5,112,90.0,7.98784,104.0,66.69786134661999,66.34136813853499,66.82566079857499,98.78,66.44226244271,3.47826,18,XOM
01-16-2014,101.5,112,90.0,7.98784,104.0,66.448988729655,66.08576923462499,66.61714590328,98.94,66.54988303383,3.47826,18,XOM
01-17-2014,101.82353,112,90.0,8.104,104.0,66.71131392051,66.368273286315,67.49156320613,99.16,66.69786134661999,3.5,17,XOM
01-21-2014,101.58824,112,90.0,7.91914,104.0,66.301010416865,65.94451720878,66.5132920328492,98.5,66.25392640825,3.40909,17,XOM
01-22-2014,101.58824,112,90.0,7.91914,104.0,66.50952531216,65.80999146988,66.556609320775,97.88,65.83689661765999,3.40909,17,XOM
01-23-2014,101.58824,112,90.0,7.91914,104.0,65.413140540125,64.579080958945,65.507308557355,96.97,65.22480450566499,3.40909,17,XOM
