 Date,JPM Price Target,JPM Price Target - High,JPM Price Target - Low,JPM Price Target - StdDev,JPM Price Target - Median,JPM Open,JPM Low,JPM High,JPM Close,JPM Adj. Close,JPM Rating,JPM Price Target - #,Ticker
06-06-2013,57.27586,66,50.0,3.92074,57.0,40.266206234044,39.831843297757,40.784393596632,53.5,40.76915279185,4.30303,29,JPM
06-07-2013,57.27586,66,50.0,3.92074,57.0,40.974903656407,40.70056917033099,41.515952226168,54.27,41.355923775957,4.24242,29,JPM
06-10-2013,57.27586,66,50.0,3.92074,57.0,41.637878664424,41.165413716182,41.790286712244,54.36,41.424507397476,4.24242,29,JPM
06-11-2013,57.27586,66,50.0,3.92074,57.0,40.738671182286,40.471957098601,41.188274923355,53.49,40.761532389459,4.24242,29,JPM
06-12-2013,57.82759,66,50.0,4.0178,57.0,41.07396888749,40.36138505990759,41.22637693531,53.18,40.525299915338,4.24242,29,JPM
06-13-2013,57.82759,66,50.0,4.0178,57.0,40.3881326723,40.365271465127,41.333062568784,54.17,41.279719752047,4.24242,29,JPM
06-14-2013,57.82759,66,50.0,4.0178,57.0,41.180654520964,40.31954905078099,41.249238142483,53.13,40.487197903383,4.24242,29,JPM
06-17-2013,57.82759,66,50.0,4.0178,57.0,40.92156083967,40.799634401414,41.3444931723705,53.85,41.035866875535,4.24242,29,JPM
06-18-2013,57.82759,66,50.0,4.0178,57.0,41.173034118573,40.936801644452,41.355923775957,54.11,41.233997337701,4.24242,29,JPM
06-19-2013,57.82759,66,50.0,4.0178,57.0,41.142552509009,40.784393596632,41.538813433341,53.55,40.807254803804994,4.24242,29,JPM
06-20-2013,57.82759,66,50.0,4.0178,57.0,40.449095891428,39.831843297757,40.525299915338,52.48,39.991871747968,4.24242,29,JPM
06-21-2013,57.82759,66,50.0,4.0178,57.0,40.357651062736,39.389859959079,40.37289186751799,51.96,39.595610823636,4.24242,29,JPM
06-24-2013,57.82759,66,50.0,4.0178,57.0,38.772607365408,38.185836381300994,39.206970301695,50.92,38.803088974972,4.24242,29,JPM
06-25-2013,57.82759,66,50.0,4.0178,57.0,39.252692716041,39.252692716041,40.05626414817195,52.08,39.687055652328,4.24242,29,JPM
