 Date,DHR Price Target,DHR Price Target - High,DHR Price Target - Low,DHR Price Target - StdDev,DHR Price Target - Median,DHR Open,DHR Low,DHR High,DHR Close,DHR Adj. Close,DHR Rating,DHR Price Target - #,Ticker
02-09-2018,107.52941,116.0,86.0,7.48424,110.0,91.25350373265,89.82650628414049,93.19007326524,94.46,92.38805962043,4.26316,17,DHR
02-12-2018,107.52941,116.0,86.0,7.48424,110.0,93.043363452165,92.5200984521975,93.786693171745,95.41,93.317221769905,4.26316,17,DHR
02-13-2018,107.52941,116.0,86.0,7.48424,110.0,92.652137283965,91.97727214382,93.356344386725,94.98,92.89665363909,4.26316,17,DHR
02-14-2018,107.66667,116.0,86.0,7.29536,110.0,92.319595040995,92.05551737746,94.060551489485,96.1,93.99208691005,4.25,18,DHR
02-15-2018,107.66667,116.0,86.0,7.29536,110.0,94.862565134295,94.26594522779,95.63523681649,97.47,95.332036536135,4.25,18,DHR
02-16-2018,107.66667,116.0,86.0,7.29536,110.0,95.20488803147,94.69629401281,96.26119868561,97.54,95.40050111557,4.25,18,DHR
02-20-2018,107.66667,116.0,86.0,7.29536,110.0,95.019055601575,94.46155831189,95.59611419967,96.85,94.725635975425,4.25,18,DHR
02-21-2018,107.66667,116.0,86.0,7.29536,110.0,94.569145508145,94.510461582915,96.73067008745,97.35,95.214668685675,4.25,18,DHR
02-22-2018,107.66667,116.0,86.0,7.29536,110.0,95.73304335854,94.93102971373,96.28075999402,97.36,95.22444933988,4.25,18,DHR
02-23-2018,107.66667,116.0,86.0,7.29536,110.0,95.566772237055,95.49830765762,97.209922143495,99.33,97.151238218265,4.25,18,DHR
02-26-2018,107.66667,116.0,86.0,7.29536,110.0,97.33707064816,97.072992984625,99.263859526545,100.83,98.618336349015,4.25,18,DHR
02-27-2018,107.66667,116.0,86.0,7.29536,110.0,98.62811700322,97.35663195657,99.5670598069,99.57,97.385973919185,4.25,18,DHR
02-28-2018,107.66667,116.0,86.0,7.29536,110.0,97.6109289659,95.61567550808,98.0021551341,97.78,95.63523681649,4.25,18,DHR
03-01-2018,107.27778,116.0,86.0,7.13213,109.5,95.605894853875,93.0580344334725,95.850411209,95.99,93.884499713795,4.25,18,DHR
03-02-2018,107.27778,116.0,86.0,7.13213,109.5,93.42480896616,92.828189059655,94.30506784461,96.22,94.10945476051,4.25,18,DHR
03-05-2018,107.11111,116.0,86.0,7.26398,109.5,93.54217681662,93.29277013439253,95.840630554795,97.58,95.43962373239,4.25,18,DHR
03-06-2018,107.11111,116.0,86.0,7.26398,109.5,95.586333545465,94.764758592245,95.625456162285,97.75,95.605894853875,4.25,18,DHR
03-07-2018,107.16667,116.0,86.0,7.25144,109.5,95.10708148942,94.823442517475,99.009562517215,100.82,98.60855569481,4.25,18,DHR
03-08-2018,107.11111,115.0,86.0,7.18709,109.5,98.82373008732,98.45206522753,99.43013064803,101.61,99.381227377005,4.25,18,DHR
03-09-2018,107.11111,115.0,86.0,7.18709,109.5,99.889821395665,99.4350209751325,101.787268311435,103.74,101.46450672267,4.25,18,DHR
03-12-2018,107.11111,115.0,86.0,7.18709,109.5,101.64055849836,100.60380915263,102.002442703945,103.4,101.1319644797,4.25,18,DHR
03-13-2018,107.22222,115.0,86.0,7.18452,109.5,101.611216535745,100.3152798535825,102.002442703945,102.8,100.5451252274,4.25,18,DHR
03-14-2018,107.22222,115.0,86.0,7.18452,109.5,100.72117700309,99.615963077925,101.21020971334,102.18,99.93872466669,4.25,18,DHR
03-15-2018,107.22222,115.0,86.0,7.18452,109.5,100.13433775079,99.733330928385,100.40819606853,102.22,99.97784728351,4.25,18,DHR
03-16-2018,107.22222,115.0,86.0,7.18452,109.5,100.261486255455,99.655085694745,100.4130863956325,101.93,99.694208311565,4.25,18,DHR
03-19-2018,107.22222,115.0,86.0,7.18452,109.5,99.557279152695,97.366412610775,99.6110727508225,100.31,98.109742330355,4.25,18,DHR
03-20-2018,107.22222,115.0,86.0,7.18452,109.5,98.109742330355,97.81143237710248,98.64767831163,100.56,98.35425868548,4.25,18,DHR
03-21-2018,107.22222,115.0,86.0,7.18452,109.5,98.64767831163,97.6109289659,98.774826816295,99.81,97.620709620105,4.25,18,DHR
03-22-2018,107.22222,115.0,86.0,7.18452,109.5,96.90672186314,95.08752018101,97.679393545335,97.49,95.351597844545,4.25,18,DHR
03-23-2018,107.22222,115.0,86.0,7.18452,109.5,95.762385321155,93.610641396055,96.251418031405,95.94,93.83559644277,4.25,18,DHR
03-26-2018,107.22222,115.0,86.0,7.18452,109.5,95.019055601575,94.353971115635,96.192734106175,98.16,96.00690167628,4.25,18,DHR
03-27-2018,107.22222,115.0,86.0,7.18452,109.5,96.53505700335,94.569145508145,96.818695975295,97.25,95.116862143625,4.25,18,DHR
03-28-2018,107.22222,115.0,86.0,7.18452,109.5,95.508733035712,94.39190099488,95.978978105536,96.52,94.558446123776,4.25,18,DHR
03-29-2018,107.22222,115.0,86.0,7.18452,109.5,94.920926698432,94.695600935808,96.527597353664,97.91,95.920197471808,4.25,18,DHR
04-02-2018,107.22222,115.0,86.0,7.18452,109.5,95.636091075456,93.088930280576,95.822229748928,96.1,94.14698168768,4.25,18,DHR
04-03-2018,107.22222,115.0,86.0,7.18452,109.5,94.7837718864,94.5202387118528,96.35125545248,98.23,96.233694185024,4.25,18,DHR
04-04-2018,107.23529,115.0,86.0,6.9327,109.0,94.88173960928,94.205762321408,97.242761730688,99.06,97.046826284928,4.31579,17,DHR
04-05-2018,107.23529,115.0,86.0,6.9327,109.0,97.536664899328,96.782313433152,97.713006800512,99.22,97.203574641536,4.31579,17,DHR
04-06-2018,107.23529,115.0,86.0,6.9327,109.0,96.527597353664,93.823688202176,97.007639195776,96.66,94.695600935808,4.31579,17,DHR
04-09-2018,107.23529,115.0,86.0,6.9327,109.0,95.381374995968,94.754381569536,96.93906178976,97.6,95.61649753088,4.31579,17,DHR
04-10-2018,107.35294,115.0,86.0,6.9953,109.0,96.801906977728,96.801906977728,98.496748583552,99.52,97.497477810176,4.31579,17,DHR
04-11-2018,107.35294,115.0,86.0,6.9953,109.0,96.79211020544,96.03286035312,97.1242207860032,98.42,96.419832858496,4.31579,17,DHR
04-12-2018,107.35294,115.0,86.0,6.9953,109.0,97.125200463232,96.948858562048,97.654226166784,99.0,96.9880456512,4.31579,17,DHR
04-13-2018,107.35294,115.0,86.0,6.9953,109.0,97.566055216192,96.713736027136,97.732600345088,99.24,97.223168186112,4.31579,17,DHR
04-16-2018,107.35294,115.0,86.0,6.9953,109.0,98.104877692032,97.977519652288,98.878822702784,100.42,98.379187316096,4.31579,17,DHR
04-17-2018,107.35294,115.0,86.0,6.9953,109.0,98.9474001088,98.330203454656,99.882991862304,101.69,99.623377396672,4.31579,17,DHR
04-18-2018,107.35294,115.0,86.0,6.9953,109.0,99.956467654464,99.574393535232,100.56386753632,102.4,100.31894822912,4.31579,17,DHR
04-19-2018,109.11765,120.0,86.0,7.71463,110.0,100.9067545664,98.388984088384,101.866838250624,101.5,99.4372387232,4.31579,17,DHR
04-20-2018,109.35294,120.0,86.0,7.45923,110.0,99.309880683456,98.320406682368,100.1435860051648,101.34,99.280490366592,4.31579,17,DHR
04-23-2018,109.94118,120.0,86.0,7.64253,112.0,99.63317416896,98.80044852448,99.917280565312,101.2,99.14333555456,4.31579,17,DHR
04-24-2018,109.94118,120.0,86.0,7.64253,112.0,99.162929099136,97.193777869248,99.574393535232,100.1,98.06569060288,4.31579,17,DHR
04-25-2018,109.94118,120.0,86.0,7.64253,112.0,98.036300286016,96.59617475968,99.104148465408,100.49,98.447764722112,4.31579,17,DHR
04-26-2018,109.94118,120.0,86.0,7.64253,112.0,98.673090484736,98.447764722112,100.328745001408,101.78,99.711548347264,4.31579,17,DHR
04-27-2018,109.94118,120.0,86.0,7.64253,112.0,99.9270773376,99.221709732864,100.054435377344,101.64,99.574393535232,4.31579,17,DHR
04-30-2018,109.94118,120.0,86.0,7.64253,112.0,99.63317416896,98.183251870336,99.750735436416,100.32,98.281219593216,4.31579,17,DHR
05-01-2018,109.94118,120.0,86.0,7.64253,112.0,98.31060991008,97.957926107712,98.918009791936,100.89,98.839635613632,4.31579,17,DHR
05-02-2018,109.94118,120.0,86.0,7.64253,112.0,98.526138900416,97.242761730688,98.80044852448,99.56,97.536664899328,4.31579,17,DHR
05-03-2018,109.94118,120.0,86.0,7.64253,112.0,97.125200463232,95.748753956768,97.409306859584,99.0,96.9880456512,4.31579,17,DHR
05-04-2018,109.94118,120.0,86.0,7.64253,112.0,96.674548937984,95.881010382656,98.437967949824,100.2,98.16365832576,4.31579,17,DHR
05-07-2018,109.94118,120.0,86.0,7.64253,112.0,98.369390543808,97.409306859584,99.309880683456,99.58,97.556258443904,4.31579,17,DHR
05-08-2018,109.94118,120.0,86.0,7.64253,112.0,97.4778842656,96.89007792832,97.62483584992,99.18,97.164387552384,4.31579,17,DHR
05-09-2018,109.94118,120.0,86.0,7.64253,112.0,97.203574641536,96.772516660864,98.11467446432,99.54,97.517071354752,4.31579,17,DHR
05-10-2018,109.94118,120.0,86.0,7.64253,112.0,97.96772288,97.713006800512,99.378458089472,101.17,99.113945237696,4.31579,17,DHR
05-11-2018,109.94118,120.0,86.0,7.64253,112.0,99.084554920832,98.878822702784,100.309151456832,101.81,99.740938664128,4.31579,17,DHR
05-14-2018,109.94118,120.0,86.0,7.64253,112.0,99.868296703872,99.770328980992,101.04361547526337,102.67,100.583461080896,4.31579,17,DHR
05-15-2018,109.94118,120.0,86.0,7.64253,112.0,99.38825486176,97.830568067968,99.770328980992,100.24,98.202845414912,4.31579,17,DHR
05-16-2018,109.94118,120.0,86.0,7.64253,112.0,98.183251870336,98.055893830592,99.14333555456,100.7,98.65349694016,4.31579,17,DHR
05-17-2018,109.94118,120.0,86.0,7.64253,112.0,98.65349694016,98.340000226944,99.202116188288,100.78,98.731871118464,4.31579,17,DHR
05-18-2018,109.94118,120.0,86.0,7.64253,112.0,98.60451307872,98.31060991008,99.447035495488,101.25,99.192319416,4.31579,17,DHR
05-21-2018,109.94118,120.0,86.0,7.64253,112.0,99.652767713536,99.564596762944,100.769599754368,102.24,100.162199872512,4.31579,17,DHR
05-22-2018,109.94118,120.0,86.0,7.64253,112.0,100.250370823104,99.24130327744,100.397322407424,101.41,99.349067772608,4.31579,17,DHR
05-23-2018,109.94118,120.0,86.0,7.64253,112.0,99.104148465408,99.064961376256,100.26996436768,102.32,100.240574050816,4.31579,17,DHR
05-24-2018,109.94118,120.0,86.0,7.64253,112.0,100.358135318272,99.809516070144,101.034112606144,102.29,100.211183733952,4.31579,17,DHR
05-25-2018,109.94118,120.0,86.0,7.64253,112.0,100.26996436768,99.770328980992,100.926348110976,102.13,100.054435377344,4.31579,17,DHR
05-29-2018,109.94118,120.0,86.0,7.64253,112.0,99.064961376256,97.595445533056,99.378458089472,100.55,98.50654535584,4.31579,17,DHR
05-30-2018,109.94118,120.0,86.0,7.64253,112.0,98.976790425664,98.741667890752,99.613580624384,101.25,99.192319416,4.31579,17,DHR
05-31-2018,109.94118,120.0,86.0,7.64253,112.0,99.251100049728,97.242761730688,99.251100049728,99.28,97.262355275264,4.31579,17,DHR
06-01-2018,109.94118,120.0,86.0,7.64253,112.0,98.06569060288,97.77178743424,98.869025930496,100.59,98.545732444992,4.31579,17,DHR
06-04-2018,109.94118,120.0,86.0,7.64253,112.0,98.937603336512,98.7926111066496,100.191590189376,101.87,99.799719297856,4.31579,17,DHR
06-05-2018,109.94118,120.0,86.0,7.64253,112.0,99.946670882176,99.58419030752,100.61285139776,102.09,100.015248288192,4.31579,17,DHR
06-06-2018,109.94118,120.0,86.0,7.64253,112.0,100.12301278336,99.623377396672,100.789193298944,102.8,100.71081912064,4.31579,17,DHR
06-07-2018,109.94118,120.0,86.0,7.64253,112.0,100.936144883264,100.044638605056,101.21819395743552,102.5,100.416915952,4.31579,17,DHR
