 Date,AMD Price Target,AMD Price Target - High,AMD Price Target - Low,AMD Price Target - StdDev,AMD Price Target - Median,AMD Open,AMD Low,AMD High,AMD Close,AMD Adj. Close,AMD Rating,AMD Price Target - #,Ticker
04-23-2014,4.12857,6.0,2.5,0.94926,4.0,4.28,4.155,4.3,4.25,4.25,3.10714,21,AMD
04-24-2014,4.12857,6.0,2.5,0.94926,4.0,4.27,4.2,4.35,4.28,4.28,3.10714,21,AMD
04-25-2014,4.15238,6.0,2.5,0.9888,4.0,4.22,4.04,4.26,4.05,4.05,3.10714,21,AMD
04-28-2014,4.15238,6.0,2.5,0.9888,4.0,4.09,3.87,4.12,3.96,3.96,3.10714,21,AMD
04-29-2014,4.15238,6.0,2.5,0.9888,4.0,4.02,3.96,4.03,4.03,4.03,3.10714,21,AMD
04-30-2014,4.15238,6.0,2.5,0.9888,4.0,4.0,3.99,4.1,4.09,4.09,3.10714,21,AMD
05-01-2014,4.15238,6.0,2.5,0.9888,4.0,4.13,4.1,4.24,4.2,4.2,3.10714,21,AMD
05-02-2014,4.15238,6.0,2.5,0.9888,4.0,4.17,4.1,4.2,4.12,4.12,3.10714,21,AMD
05-05-2014,4.15238,6.0,2.5,0.9888,4.0,4.1,4.06,4.14,4.09,4.09,3.10714,21,AMD
05-06-2014,4.15238,6.0,2.5,0.9888,4.0,4.06,3.98,4.13,4.01,4.01,3.10714,21,AMD
05-07-2014,4.15238,6.0,2.5,0.9888,4.0,4.04,3.89,4.04,3.97,3.97,3.10714,21,AMD
05-08-2014,4.15238,6.0,2.5,0.9888,4.0,3.95,3.91,4.03,3.93,3.93,3.10714,21,AMD
05-09-2014,4.15238,6.0,2.5,0.9888,4.0,3.91,3.85,3.93,3.87,3.87,3.10714,21,AMD
05-12-2014,4.15238,6.0,2.5,0.9888,4.0,3.87,3.86,4.0,3.97,3.97,3.10714,21,AMD
05-13-2014,4.15238,6.0,2.5,0.9888,4.0,3.99,3.98,4.09,4.03,4.03,3.10714,21,AMD
05-14-2014,4.15238,6.0,2.5,0.9888,4.0,4.03,3.98,4.06,3.98,3.98,3.10714,21,AMD
05-15-2014,4.15238,6.0,2.5,0.9888,4.0,3.96,3.89,3.98,3.96,3.96,3.10714,21,AMD
05-16-2014,4.15238,6.0,2.5,0.9888,4.0,3.95,3.91,4.05,4.02,4.02,3.10714,21,AMD
05-19-2014,4.15238,6.0,2.5,0.9888,4.0,4.0,3.96,4.1,4.09,4.09,3.10714,21,AMD
05-20-2014,4.15238,6.0,2.5,0.9888,4.0,4.09,4.0,4.11,4.05,4.05,3.10714,21,AMD
05-21-2014,4.15238,6.0,2.5,0.9888,4.0,4.06,4.05,4.1,4.1,4.1,3.10714,21,AMD
05-22-2014,4.15238,6.0,2.5,0.9888,4.0,4.09,4.01,4.09,4.01,4.01,3.10714,21,AMD
05-23-2014,4.15238,6.0,2.5,0.9888,4.0,4.03,3.97,4.06,4.02,4.02,3.10714,21,AMD
05-27-2014,4.15238,6.0,2.5,0.9888,4.0,4.05,4.03,4.06,4.04,4.04,3.10714,21,AMD
05-28-2014,4.15238,6.0,2.5,0.9888,4.0,4.04,3.99,4.06,4.0,4.0,3.10714,21,AMD
05-29-2014,4.15238,6.0,2.5,0.9888,4.0,4.02,4.01,4.06,4.03,4.03,3.10714,21,AMD
05-30-2014,4.15238,6.0,2.5,0.9888,4.0,4.02,3.98,4.03,4.0,4.0,3.10714,21,AMD
06-02-2014,4.15238,6.0,2.5,0.9888,4.0,4.03,3.94,4.03,3.97,3.97,3.10714,21,AMD
06-03-2014,4.15238,6.0,2.5,0.9888,4.0,3.96,3.92,3.975,3.94,3.94,3.10714,21,AMD
06-04-2014,4.15238,6.0,2.5,0.9888,4.0,3.93,3.93,4.05,4.04,4.04,3.10714,21,AMD
06-05-2014,4.12857,6.0,2.5,0.94926,4.0,4.04,4.02,4.09,4.08,4.08,3.10714,21,AMD
06-06-2014,4.12857,6.0,2.5,0.94926,4.0,4.09,4.06,4.11,4.06,4.06,3.10714,21,AMD
06-09-2014,4.20435,6.0,2.5,0.93969,4.0,4.05,4.04,4.1,4.07,4.07,3.23333,23,AMD
06-10-2014,4.20435,6.0,2.5,0.93969,4.0,4.1,4.1,4.23,4.2,4.2,3.23333,23,AMD
06-11-2014,4.20435,6.0,2.5,0.93969,4.0,4.18,4.17,4.3,4.29,4.29,3.23333,23,AMD
06-12-2014,4.20435,6.0,2.5,0.93969,4.0,4.33,4.28,4.44,4.29,4.29,3.23333,23,AMD
06-13-2014,4.20435,6.0,2.5,0.93969,4.0,4.36,4.24,4.39,4.28,4.28,3.23333,23,AMD
06-16-2014,4.20435,6.0,2.5,0.93969,4.0,4.26,4.26,4.44,4.44,4.44,3.23333,23,AMD
06-17-2014,4.20435,6.0,2.5,0.93969,4.0,4.41,4.41,4.5,4.47,4.47,3.23333,23,AMD
06-18-2014,4.20435,6.0,2.5,0.93969,4.0,4.5,4.35,4.5,4.4,4.4,3.23333,23,AMD
06-19-2014,4.20435,6.0,2.5,0.93969,4.0,4.42,4.33,4.45,4.36,4.36,3.23333,23,AMD
06-20-2014,4.20435,6.0,2.5,0.93969,4.0,4.34,4.07,4.37,4.1,4.1,3.23333,23,AMD
06-23-2014,4.20435,6.0,2.5,0.93969,4.0,4.06,3.9,4.075,4.01,4.01,3.2,23,AMD
06-24-2014,4.20435,6.0,2.5,0.93969,4.0,4.005,3.93,4.07,3.94,3.94,3.2,23,AMD
06-25-2014,4.20435,6.0,2.5,0.93969,4.0,3.95,3.94,4.0,3.96,3.96,3.2,23,AMD
06-26-2014,4.20435,6.0,2.5,0.93969,4.0,3.95,3.94,4.09,4.03,4.03,3.2,23,AMD
06-27-2014,4.20435,6.0,2.5,0.93969,4.0,4.06,4.04,4.11,4.11,4.11,3.2,23,AMD
06-30-2014,4.20435,6.0,2.5,0.93969,4.0,4.12,4.08,4.25,4.19,4.19,3.2,23,AMD
07-01-2014,4.20435,6.0,2.5,0.93969,4.0,4.21,4.17,4.26,4.22,4.22,3.2,23,AMD
07-02-2014,4.20435,6.0,2.5,0.93969,4.0,4.23,4.22,4.35,4.34,4.34,3.2,23,AMD
07-03-2014,4.20435,6.0,2.5,0.93969,4.0,4.36,4.14,4.4,4.24,4.24,3.2,23,AMD
07-07-2014,4.21364,6.0,2.5,0.95978,4.0,4.23,4.21,4.31,4.26,4.26,3.2069,22,AMD
