 Date,BKNG Price Target,BKNG Price Target - High,BKNG Price Target - Low,BKNG Price Target - StdDev,BKNG Price Target - Median,BKNG Open,BKNG Low,BKNG High,BKNG Close,BKNG Adj. Close,BKNG Rating,BKNG Price Target - #,Ticker
12-14-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1288.64,1276.06,1301.89,1297.88,1297.88,4.2,25,BKNG
12-15-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1303.65,1301.92,1331.18,1323.73,1323.73,4.2,25,BKNG
12-16-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1332.79,1315.0,1337.29,1332.31,1332.31,4.2,25,BKNG
12-17-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1341.99,1312.69,1341.99,1313.74,1313.74,4.2,25,BKNG
12-18-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1306.12,1283.74,1312.97,1285.67,1285.67,4.2,25,BKNG
12-21-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1292.88,1264.13,1299.56,1275.71,1275.71,4.2,25,BKNG
12-22-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1282.9,1266.09,1282.9,1277.49,1277.49,4.2,25,BKNG
12-23-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1284.0,1267.22,1284.95,1279.05,1279.05,4.2,25,BKNG
12-24-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1278.5,1272.01,1280.52,1273.07,1273.07,4.2,25,BKNG
12-28-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1266.99,1253.2,1274.74,1272.96,1272.96,4.2,25,BKNG
12-29-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1278.0,1277.01,1304.0,1302.4,1302.4,4.2,25,BKNG
12-30-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1299.0,1288.07,1301.67,1289.16,1289.16,4.2,25,BKNG
12-31-2015,1508.0,1830.0,1225.0,129.90766,1500.0,1285.58,1271.51,1287.9,1274.95,1274.95,4.2,25,BKNG
01-04-2016,1508.0,1830.0,1225.0,129.90766,1500.0,1256.0,1228.0,1258.85,1245.37,1245.37,4.2,25,BKNG
01-05-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1236.28,1201.08,1247.47,1210.69,1210.69,4.16667,25,BKNG
01-06-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1186.0,1185.0,1212.28,1196.71,1196.71,4.16667,25,BKNG
01-07-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1171.97,1154.28,1194.49,1167.19,1167.19,4.16667,25,BKNG
01-08-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1172.51,1135.0,1182.41,1136.96,1136.96,4.16667,25,BKNG
01-11-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1136.0,1120.0088,1147.98,1136.28,1136.28,4.16667,25,BKNG
01-12-2016,1499.6,1830.0,1225.0,133.02571,1500.0,1141.83,1133.08,1160.504,1148.92,1148.92,4.16667,25,BKNG
01-13-2016,1501.2,1830.0,1225.0,133.29126,1500.0,1155.99,1076.35,1156.98,1098.9,1098.9,4.16667,25,BKNG
01-14-2016,1501.2,1830.0,1225.0,133.29126,1500.0,1098.21,1065.0,1136.71,1121.38,1121.38,4.16667,25,BKNG
01-15-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1076.0,1075.1497,1110.83,1086.74,1086.74,4.16667,25,BKNG
01-19-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1099.42,1078.42,1117.0,1094.5,1094.5,4.16667,25,BKNG
